,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
274,Rolling Plains,Rolling Plains,"5136 S Desert View Drive
",,Apache Junction,AZ,85120,SCC_39592-2,2019-05-14,SCC_39592-2 - 2019-05-14,LIQUID,NET 30,Nofield,0.0,0.0,991.76,991.76,Balance Due,SCC_4928,SCC_4928,Rolling Plains,2019-05-14 09:18:29.470,P,QuoteNo,SCC_29964,275,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
275,Rolling Plains,Rolling Plains,"5136 S Desert View Drive
",,Apache Junction,AZ,85120,SCC_39599-2,2019-05-16,SCC_39599-2 - 2019-05-16,LIQUID,NET 30,Nofield,0.0,0.0,1022.68,1022.68,Balance Due,SCC_4928,SCC_4928,Rolling Plains,2019-05-16 14:27:14.490,P,QuoteNo,SCC_29965,276,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
276,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39617,2019-05-16,SCC_39617 - 2019-05-16,LIQUID,NET 30,Nofield,0.0,0.0,9009.0,9009.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-05-17 10:38:00.210,P,QuoteNo,SCC_29966,277,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
277,Agate Steel,Agate Steel,"2607 N. Country Club Drive
",,Scottsdale,AZ,85256,SCC_39616,2019-05-14,SCC_39616 - 2019-05-14,LIQUID,NET 30,Nofield,0.0,0.0,44880.0,44880.0,Balance Due,SCC_4922,SCC_4922,Agate Steel,2019-05-17 10:49:46.763,P,QuoteNo,SCC_29967,278,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
278,Able Steel Fabricators,Able Steel Fabricators,"4150 E Quartz Circle
",,Mesa,AZ,85215,SCC_39615,2019-05-16,SCC_39615 - 2019-05-16,LIQUID,NET 30,Nofield,0.0,0.0,3124.7,3124.7,Balance Due,SCC_4935,SCC_4935,Able Steel Fabricators,2019-05-17 10:58:46.170,P,QuoteNo,SCC_29968,279,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
279,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39618,2019-05-15,SCC_39618 - 2019-05-15,LIQUID,NET 30,Nofield,0.0,0.0,6000.0,6000.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2019-05-17 13:02:15.687,P,QuoteNo,SCC_29970,280,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
280,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_39619,2019-05-15,SCC_39619 - 2019-05-15,LIQUID,NET 30,Nofield,0.0,0.0,36297.15,36297.15,Balance Due,SCC_4890,SCC_4890,Currier Construction,2019-05-17 13:24:59.937,P,QuoteNo,SCC_29971,281,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-03-30
281,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39621,2019-05-20,SCC_39621 - 2019-05-20,LIQUID,NET 30,Nofield,0.0,0.0,10657.0,10657.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-05-23 14:00:18.450,P,QuoteNo,SCC_29972,282,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
282,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39622,2019-05-20,SCC_39622 - 2019-05-20,LIQUID,NET 30,Nofield,0.0,0.0,3405.0,3405.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,2019-05-23 14:04:23.793,P,QuoteNo,SCC_29973,283,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
283,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39614,2019-05-15,SCC_39614 - 2019-05-15,LIQUID,NET 30,Nofield,0.0,0.0,11408.25,11408.25,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2019-05-24 08:58:04.117,P,QuoteNo,SCC_29974,284,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
284,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39536CR,2019-05-24,SCC_39536CR - 2019-05-24,LIQUID,NET 30,Nofield,0.0,0.0,-900.0,-900.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2019-05-24 08:59:56.380,P,QuoteNo,SCC_29975,285,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
285,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39537CR,2019-05-24,SCC_39537CR - 2019-05-24,LIQUID,NET 30,Nofield,0.0,0.0,-900.0,-900.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2019-05-24 09:02:23.430,P,QuoteNo,SCC_29976,286,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
286,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39623,2019-05-22,SCC_39623 - 2019-05-22,LIQUID,NET 30,Nofield,0.0,0.0,9944.0,9944.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-05-24 09:11:44.870,P,QuoteNo,SCC_29977,287,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
287,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39624,2019-05-24,SCC_39624 - 2019-05-24,LIQUID,NET 30,Nofield,0.0,0.0,8970.0,8970.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-05-24 13:43:37.820,P,QuoteNo,SCC_29978,288,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
288,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39625,2019-05-31,SCC_39625 - 2019-05-31,LIQUID,NET 30,Nofield,0.0,0.0,14105.9,14105.9,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-05-31 13:58:41.020,P,QuoteNo,SCC_29979,289,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
289,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39626,2019-05-31,SCC_39626 - 2019-05-31,LIQUID,NET 30,Nofield,0.0,0.0,950.0,950.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2019-05-31 14:01:08.720,P,QuoteNo,SCC_29980,290,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
290,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39629,2019-05-31,SCC_39629 - 2019-05-31,LIQUID,NET 30,Nofield,0.0,0.0,2828.0,2828.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-05-31 14:01:18.453,P,QuoteNo,SCC_29981,291,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
291,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39630,2019-05-31,SCC_39630 - 2019-05-31,LIQUID,NET 30,Nofield,0.0,0.0,600.0,600.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2019-05-31 14:04:00.380,P,QuoteNo,SCC_29982,292,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
292,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39631,2019-05-30,SCC_39631 - 2019-05-30,LIQUID,NET 30,Nofield,0.0,0.0,13495.0,13495.0,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,2019-05-31 14:04:13.837,P,QuoteNo,SCC_29983,293,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
293,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39632,2019-06-06,SCC_39632 - 2019-06-06,LIQUID,NET 30,Nofield,0.0,0.0,8515.0,8515.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-06 12:17:22.837,P,QuoteNo,SCC_29984,294,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
294,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39633,2019-06-06,SCC_39633 - 2019-06-06,LIQUID,NET 30,Nofield,0.0,0.0,13495.0,13495.0,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,2019-06-06 12:19:18.937,P,QuoteNo,SCC_29985,295,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
295,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39634,2019-06-06,SCC_39634 - 2019-06-06,LIQUID,NET 30,Nofield,0.0,0.0,10191.5,10191.5,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-06 13:25:23.617,P,QuoteNo,SCC_29986,296,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
296,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39614CR,2019-06-10,SCC_39614CR - 2019-06-10,LIQUID,NET 30,Nofield,0.0,0.0,-3129.75,-3129.75,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2019-06-10 10:48:39.500,P,QuoteNo,SCC_29987,297,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
297,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39638,2019-06-12,SCC_39638 - 2019-06-12,LIQUID,NET 30,Nofield,0.0,0.0,7500.0,7500.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-12 15:16:30.363,P,QuoteNo,SCC_29988,298,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
298,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39637,2019-06-10,SCC_39637 - 2019-06-10,LIQUID,NET 30,Nofield,0.0,0.0,9829.0,9829.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-12 15:20:19.123,P,QuoteNo,SCC_29989,299,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
299,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39636,2019-06-10,SCC_39636 - 2019-06-10,LIQUID,NET 30,Nofield,0.0,0.0,2440.0,2440.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-12 15:21:55.470,P,QuoteNo,SCC_29990,300,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
300,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39635,2019-06-10,SCC_39635 - 2019-06-10,LIQUID,NET 30,Nofield,0.0,0.0,9416.0,9416.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-12 15:23:17.040,P,QuoteNo,SCC_29991,301,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
301,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39639,2019-06-14,SCC_39639 - 2019-06-14,LIQUID,NET 30,Nofield,0.0,0.0,2000.0,2000.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2019-06-18 07:31:02.967,P,QuoteNo,SCC_29992,302,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
302,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39640,2019-06-14,SCC_39640 - 2019-06-14,LIQUID,NET 30,Nofield,0.0,0.0,3500.0,3500.0,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,2019-06-18 07:31:46.730,P,QuoteNo,SCC_29993,303,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
303,Schuff Steel Management Co.,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",Suite #111,Mesa,AZ,85215,SCC_39641,2019-06-17,SCC_39641 - 2019-06-17,LIQUID,NET 30,Nofield,0.0,0.0,248.85,248.85,Balance Due,SCC_4932,SCC_4932,Schuff Steel Management Co.,2019-06-18 07:32:27.023,P,QuoteNo,SCC_29994,304,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-20
304,Schuff Steel Management Co.,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",Suite #111,Mesa,AZ,85215,SCC_39642,2019-06-17,SCC_39642 - 2019-06-17,LIQUID,NET 30,Nofield,0.0,0.0,1890.0,1890.0,Balance Due,SCC_4932,SCC_4932,Schuff Steel Management Co.,2019-06-18 07:32:59.593,P,QuoteNo,SCC_29995,305,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-20
305,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39643,2019-06-17,SCC_39643 - 2019-06-17,LIQUID,NET 30,Nofield,0.0,0.0,2000.0,2000.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2019-06-18 15:18:47.067,P,QuoteNo,SCC_29996,306,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
306,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39648,2019-06-21,SCC_39648 - 2019-06-21,LIQUID,NET 30,Nofield,0.0,0.0,11391.0,11391.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-25 11:55:50.947,P,QuoteNo,SCC_29997,307,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
307,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39644,2019-06-24,SCC_39644 - 2019-06-24,BLAST,NET 30,Nofield,0.0,0.0,1451.0,1451.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-25 11:59:04.307,P,QuoteNo,SCC_29998,308,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
308,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39645,2019-06-24,SCC_39645 - 2019-06-24,LIQUID,NET 30,Nofield,0.0,0.0,1800.0,1800.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2019-06-25 12:02:19.050,P,QuoteNo,SCC_29999,309,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
309,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39646,2019-06-21,SCC_39646 - 2019-06-21,LIQUID,NET 30,Nofield,0.0,0.0,13495.0,13495.0,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,2019-06-25 12:04:13.083,P,QuoteNo,SCC_30000,310,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
310,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39647,2019-06-21,SCC_39647 - 2019-06-21,LIQUID,NET 30,Nofield,0.0,0.0,1500.0,1500.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2019-06-25 12:06:09.637,P,QuoteNo,SCC_30001,311,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
311,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39649,2019-06-27,SCC_39649 - 2019-06-27,LIQUID,NET 30,Nofield,0.0,0.0,2357.0,2357.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-28 12:28:55.640,P,QuoteNo,SCC_30002,312,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
312,"Brahma Group, Inc","Brahma Group, Inc","1841 S. Horne
",,Mesa,AZ,85204,SCC_39650,2019-06-24,SCC_39650 - 2019-06-24,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4926,SCC_4926,"Brahma Group, Inc",2019-06-28 12:34:50.420,P,QuoteNo,SCC_30003,313,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
313,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39651,2019-06-27,SCC_39651 - 2019-06-27,LIQUID,NET 30,Nofield,0.0,0.0,2185.0,2185.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-06-28 12:38:02.830,P,QuoteNo,SCC_30004,314,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
314,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39652,2019-07-01,SCC_39652 - 2019-07-01,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-02 11:26:27.593,P,QuoteNo,SCC_30005,315,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
315,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39654,2019-06-29,SCC_39654 - 2019-06-29,LIQUID,NET 30,Nofield,0.0,0.0,7408.0,7408.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-02 11:44:14.363,P,QuoteNo,SCC_30006,316,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
316,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39653,2019-07-01,SCC_39653 - 2019-07-01,LIQUID,NET 30,Nofield,0.0,0.0,5938.0,5938.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-02 11:46:11.090,P,QuoteNo,SCC_30007,317,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
317,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39655,2019-06-28,SCC_39655 - 2019-06-28,LIQUID,NET 30,Nofield,0.0,0.0,10012.0,10012.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-02 11:55:31.150,P,QuoteNo,SCC_30008,318,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
318,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39656,2019-06-28,SCC_39656 - 2019-06-28,LIQUID,NET 30,Nofield,0.0,0.0,9075.0,9075.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-02 11:55:57.860,P,QuoteNo,SCC_30009,319,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
319,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39657,2019-07-02,SCC_39657 - 2019-07-02,LIQUID,NET 30,Nofield,0.0,0.0,2070.0,2070.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-02 11:56:24.220,P,QuoteNo,SCC_30010,320,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
320,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39658,2019-07-03,SCC_39658 - 2019-07-03,LIQUID,NET 30,Nofield,0.0,0.0,1335.0,1335.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-09 10:31:07.130,P,QuoteNo,SCC_30011,321,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
321,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39659,2019-07-12,SCC_39659 - 2019-07-12,LIQUID,NET 30,Nofield,0.0,0.0,5005.0,5005.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-12 12:47:53.387,P,QuoteNo,SCC_30012,322,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
322,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39660,2019-07-15,SCC_39660 - 2019-07-15,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2100.0,2100.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2019-07-15 15:10:19.077,P,QuoteNo,SCC_30013,323,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
323,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_39661,2019-07-15,SCC_39661 - 2019-07-15,LIQUID,NET 30,Nofield,0.0,0.0,1350.0,1350.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2019-07-15 15:13:29.230,P,QuoteNo,SCC_30014,324,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
324,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39662,2019-07-15,SCC_39662 - 2019-07-15,LIQUID,NET 30,Nofield,0.0,0.0,227.0,227.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-15 15:15:26.163,P,QuoteNo,SCC_30015,325,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
325,Schuff Steel Management Co.,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",Suite #111,Mesa,AZ,85215,SCC_39664,2019-07-12,SCC_39664 - 2019-07-12,LIQUID,NET 30,Nofield,0.0,0.0,4019.0,4019.0,Balance Due,SCC_4932,SCC_4932,Schuff Steel Management Co.,2019-07-16 09:13:00.530,P,QuoteNo,SCC_30016,326,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-20
326,Schuff Steel Management Co.,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",Suite #111,Mesa,AZ,85215,SCC_39665,2019-07-12,SCC_39665 - 2019-07-12,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4932,SCC_4932,Schuff Steel Management Co.,2019-07-16 09:14:39.910,P,QuoteNo,SCC_30017,327,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-20
327,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39666,2019-07-15,SCC_39666 - 2019-07-15,LIQUID,NET 30,Nofield,0.0,0.0,9261.0,9261.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-16 09:17:21.597,P,QuoteNo,SCC_30018,328,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
328,National Pump Company,National Pump Company,"7706 N 71st Ave
",,Glendale,AZ,85303,SCC_39667,2019-07-15,SCC_39667 - 2019-07-15,LIQUID,NET 30,Nofield,0.0,0.0,4050.0,4050.0,Balance Due,SCC_4917,SCC_4917,National Pump Company,2019-07-16 09:18:57.717,P,QuoteNo,SCC_30019,329,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
329,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39663,2019-07-12,SCC_39663 - 2019-07-12,LIQUID,NET 30,Nofield,0.0,0.0,11391.0,11391.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-16 09:48:39.787,P,QuoteNo,SCC_30020,330,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
330,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39668,2019-07-17,SCC_39668 - 2019-07-17,LIQUID,NET 30,Nofield,0.0,0.0,2195.0,2195.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-18 12:02:37.873,P,QuoteNo,SCC_30021,331,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
331,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39670,2019-07-17,SCC_39670 - 2019-07-17,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-18 12:10:58.887,P,QuoteNo,SCC_30022,332,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
332,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39671,2019-07-19,SCC_39671 - 2019-07-19,LIQUID,NET 30,Nofield,0.0,0.0,6952.0,6952.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-19 14:43:32.087,P,QuoteNo,SCC_30023,333,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
333,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39672,2019-07-02,SCC_39672 - 2019-07-02,LIQUID,NET 30,Nofield,0.0,0.0,9968.0,9968.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),2019-07-19 14:43:54.860,P,QuoteNo,SCC_30024,334,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
334,Able Steel Fabricators,Able Steel Fabricators,"4150 E Quartz Circle
",,Mesa,AZ,85215,SCC_39673,2019-07-15,SCC_39673 - 2019-07-15,LIQUID,NET 30,Nofield,0.0,0.0,900.0,900.0,Balance Due,SCC_4935,SCC_4935,Able Steel Fabricators,2019-07-19 14:44:21.020,P,QuoteNo,SCC_30025,335,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-02-21
335,Schuff Steel Management Co.,Schuff Steel Management Co.,"4320 E. Presidio St.
Suite #111",Suite #111,Mesa,AZ,85215,SCC_39674,2019-07-23,SCC_39674 - 2019-07-23,LIQUID,NET 30,Nofield,0.0,0.0,260.0,260.0,Balance Due,SCC_4932,SCC_4932,Schuff Steel Management Co.,2019-07-25 13:10:06.067,P,QuoteNo,SCC_30026,336,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-20
