Error,,ItemNo,PartNo,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,Qty8,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_20856 not found for field E2_Quote_Key__c in entity Opportunity:--,14,1,"21BL-07-026 DRIP TRAY, DRUM LID LH 18.547""X14.875""",4,,,,,,,,150.0,,,,,,,,1166T-01,,20795,WON,,DCS_110184,DCS_20795,TEFLON,15,Y,2023-04-24 11:47:35.190,DCS_QuoteDet.csv,2023-04-24,DESERT
INVALID_FIELD:Foreign key external ID: dcs_20856 not found for field E2_Quote_Key__c in entity Opportunity:--,15,2,"21BL-07-027 DRIP TRAY, DRUM LID LH 18.547""X14.875""",4,,,,,,,,150.0,,,,,,,,1166T-02,,20795,WON,,DCS_110185,DCS_20795,TEFLON,16,Y,2023-04-24 11:47:35.190,DCS_QuoteDet.csv,2023-04-24,DESERT
INVALID_FIELD:Foreign key external ID: dcs_20856 not found for field E2_Quote_Key__c in entity Opportunity:--,16,3,"21BL-07-001 CONTAINMENT DRUM 29.11""X15.2""",4,,,,,,,,500.0,,,,,,,,1166T-03,,20795,WON,,DCS_110186,DCS_20795,TEFLON,17,Y,2023-04-24 11:47:35.190,DCS_QuoteDet.csv,2023-04-24,DESERT
