Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: scc_14435 not found for field E2_Quote_Key__c in entity Opportunity:--,941,12,"SPOOL REDUCER 10""X2' OD ONLY",1.0,100.0,,,14408,EXP,,SCC_28930,SCC_14408,LIQUID,939,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2019-08-28,DESERT
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply two of Sherwin ",SCC_39521,SCC_15003,LIQUID,3666,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-07-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3688,2,WATER TOWER STEM EXTERIOR,1.0,2452.63,,,15003,EXP,"Surface preparation will be prepared according to SSPC SP6
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of She",SCC_39522,SCC_15003,LIQUID,3667,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-07-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3689,3,MACROPOXY 646 FC SHERWIN,22.0,0.0,,,15003,EXP,Sherwin Williams Macropoxy 646 Fast Cure Polyamide Epoxy Two Gallon Kit,SCC_39523,SCC_15003,LIQUID,3668,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-07-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3690,4,STEEL SPEC EPOXY PRIMER,10.0,0.0,,,15003,EXP,,SCC_39524,SCC_15003,LIQUID,3669,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-07-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3691,1,"STRUCTURAL STEEL, PRICE IS PER SQFT",1.0,1.76,,,15004,EXP,"Surface preparation will be prepared according to SSPC SP2
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of She",SCC_39507,SCC_15004,LIQUID,3653,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-07-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3711,4,TREE 4  TOP ASSY,1.0,1750.0,,,15018,EXP,,SCC_39593,SCC_15018,LIQUID,3692,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-08-15,DESERT
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3712,5,TREE 5 TOP ASSY,1.0,1750.0,,,15018,EXP,,SCC_39594,SCC_15018,LIQUID,3693,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-08-15,DESERT
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3713,6,SERIES 90-97 TNEMEC,6.0,0.0,,,15018,EXP,"Tnemec Series 90-97 Reddish-gray Two-component, Moisture-cured, Zinc-Rich Primer",SCC_39595,SCC_15018,LIQUID,3694,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-08-15,DESERT
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3714,7,SERIES N69 TNEMEC,6.0,0.0,,"Colors in Stock: Hazelnut, Blue, Barnwood, Envy, Lt Gray",15018,EXP,Tnemec Series N69 Polyamidoamine Epoxy 2 Gallon Kit,SCC_39596,SCC_15018,LIQUID,3695,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-08-15,DESERT
INVALID_FIELD:Foreign key external ID: scc_15343 not found for field E2_Quote_Key__c in entity Opportunity:--,3775,1,SIGN 1'X1',300.0,65.0,,,15051,EXP,"Chemical Clean, Prime, Top coat, and clear coat",SCC_39762,SCC_15051,LIQUID,3760,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-09-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15343 not found for field E2_Quote_Key__c in entity Opportunity:--,3776,2,MACROPOXY 646 SHERWIN,6.0,0.0,,2 PART COMPONETS  - PART A #B58-600 AND PART B #B58V600,15051,EXP,SHERWIN WILLIAMS MACROPROXY 646,SCC_39763,SCC_15051,LIQUID,3761,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-09-20,DESERT
INVALID_FIELD:Foreign key external ID: scc_15354 not found for field E2_Quote_Key__c in entity Opportunity:--,3783,1,TREE 1 TOP ASSY,1.0,6125.0,,,15057,EXP,,SCC_39777,SCC_15057,LIQUID,3769,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-09-30,DESERT
INVALID_FIELD:Foreign key external ID: scc_15354 not found for field E2_Quote_Key__c in entity Opportunity:--,3784,2,TREE 2 TOP ASSY,1.0,6125.0,,,15057,EXP,,SCC_39778,SCC_15057,LIQUID,3770,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-09-30,DESERT
INVALID_FIELD:Foreign key external ID: scc_15354 not found for field E2_Quote_Key__c in entity Opportunity:--,3785,3,TREE 3 TOP ASSY,1.0,6125.0,,,15057,EXP,,SCC_39779,SCC_15057,LIQUID,3771,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-09-30,DESERT
INVALID_FIELD:Foreign key external ID: scc_15357 not found for field E2_Quote_Key__c in entity Opportunity:--,3790,8,SERIES 1075U TNEMEC,6.0,200.0,,"COLORS ON HAND AS OF 04/21/2020: 2 GL DESERT SAND, 1/2 GL LEMON YELLOW, 1/2 GL MIDTONE",15057,EXP,"Tnemec Endura-Shield II Series 1075U Aliphatic Acrylic Polyurethane Semi Gloss
INVALID_FIELD:Foreign key external ID: scc_15357 not found for field E2_Quote_Key__c in entity Opportunity:--,
INVALID_FIELD:Foreign key external ID: scc_15365 not found for field E2_Quote_Key__c in entity Opportunity:--,3798,1,COLD HEAT EXCHANGER STRUCTURAL STEEL,1.0,1350.0,,,15061,EXP,"Surface preparation will be prepared according to SSPC SP6 
INVALID_FIELD:Foreign key external ID: scc_15387 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of No",SCC_39844,SCC_15071,LIQUID,3803,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-10-21,DESERT
INVALID_FIELD:Foreign key external ID: scc_15387 not found for field E2_Quote_Key__c in entity Opportunity:--,3819,1,STRUCTURAL STEEL PRICE IS PER SQFT,1.0,4.86,,,15072,EXP,"Surface preparation will be prepared according to SSPC SP6
INVALID_FIELD:Foreign key external ID: scc_15387 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of PPG",SCC_39846,SCC_15072,LIQUID,3804,Y,2023-04-18 09:02:32.377,SCC_QuoteDet.csv,2022-10-25,DESERT
