Error,,SoldTo,ShipToName,ShipAddr1,ShipAddr2,ShipCity,ShipSt,ShipZIP,OrderNo,DateENT,Customer,PONum,ShipVia,TermsCode,FOB,E2_Customer_Key,E2_Customer_Key2,QuoteNo,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
FIELD_INTEGRITY_EXCEPTION:Order Date: invalid date: Wed Jul 21 00:00:00 GMT 9019:Order_Date__c --,3035 S. 35th Ave",,Phoenix,AZ,85009,DCS_88601,2023-05-02,Quality Iron Design,,N/A,NET 30,FOB???,DCS_3484,DCS_3484,,3,Y,2023-05-02 14:05:43.160,DCS_Order.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_6966 not found for field E2_Customer_Key__c in entity Account:--,6,Core & Main Fire Protection,Core & Main Fire Protection,1450 E Buckeye Rd,,Phoenix,AZ,85034,DCS_89410,2023-04-28,Core & Main Fire Protection,1283129,,NET 30,FOB???,DCS_6842,DCS_6842,,7,Y,2023-05-02 14:05:43.160,DCS_Order.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_6975 not found for field E2_Customer_Key__c in entity Account:--,7,Core & Main Fire Protection,Core & Main Fire Protection,1450 E Buckeye Rd,,Phoenix,AZ,85034,DCS_88619,2023-05-01,Core & Main Fire Protection,P16340,,NET 30,FOB???,DCS_6842,DCS_6842,,8,Y,2023-05-02 14:05:43.160,DCS_Order.csv,2023-05-02
