Error,﻿SoldTo,ShipToName,ShipAddr1,ShipAddr2,ShipCity,ShipSt,ShipZIP,OrderNo,DateENT,Customer,PONum,ShipVia,TermsCode,FOB,E2_Customer_Key,E2_Customer_Key2,QuoteNo,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
DUPLICATE_VALUE:Duplicate external id specified: 2209:Order_Number__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,2209,7/14/2022,Schuff Steel Company,3756-5008,,NET 30,FOB???,SCC_4907,SCC_4907,15059,667,Y,58:33.8,SCC_Order.csv,12/19/2022
DUPLICATE_VALUE:Duplicate external id specified: 2209:Order_Number__c --,Schuff Steel Company,Schuff Steel,3003 N Central Ave  Suite1500,NULL,Phoenix,AZ,85012,2209,6/16/2022,Schuff Steel Company,3756-5008,,NET 30,FOB???,SCC_4907,SCC_4907,15059,668,Y,58:33.8,SCC_Order.csv,8/30/2022
