Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,34,25,0.0,Fabtech Composites USA BBQ Black Forrest,,88577-03,Closed,???,DCS_468895,DCS_88577,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER2,35,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,35,10,0.0,,,88458-01,Closed,???,DCS_468911,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,36,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,36,10,0.0,Drop Waist Bracket,,88458-02,Closed,???,DCS_468912,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,37,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,37,40,0.0,"3"" Swivel Bolt Snap",,88458-03,Closed,???,DCS_468913,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,38,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,38,50,0.0,Triglid,,88458-04,Closed,???,DCS_468914,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,39,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,39,50,0.0,D-Ring,,88458-05,Closed,???,DCS_468915,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,40,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,40,1,0.0,"Jet Black is a great option for those seeking a true flat black. Cerakote Jet Black C Series Ceramic Coatings will perform at temperatures up to 1200°F and set the industry standard in high temperature coatings. C Series coatings are a line of air cured, ready to spray ceramic coatings",,88458-06,Closed,???,DCS_468916,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,41,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88458 not found for field Order_Number__c in entity WorkOrder:--,41,1,10.0,5% Environmental Fee,,88458-07,Closed,???,DCS_468917,DCS_88458,02iDn000000AXurIAG,01uDn000003d5aFIAQ,CERAMIC,42,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88623 not found for field Order_Number__c in entity WorkOrder:--,124,1,138.77,5% Environmental Fee,,88624-14,Open,???,DCS_469000,DCS_88624,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,125,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: dcs_88623 not found for field Order_Number__c in entity WorkOrder:--,125,2,15.0,"1""dia x 11 1/2""",,88623-01,Open,???,DCS_469001,DCS_88623,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,126,Y,2023-05-02 05:00:09.140,DCS_OrderDet.csv,2023-05-01
