Error,,SoldTo,ShipToName,ShipAddr1,ShipAddr2,ShipCity,ShipSt,ShipZIP,OrderNo,DateENT,Customer,PONum,ShipVia,TermsCode,FOB,E2_Customer_Key,E2_Customer_Key2,QuoteNo,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_6964 not found for field E2_Customer_Key__c in entity Account:--,4,Yield Engineering,Yield Engineering,,,,,,DCS_3006T,2023-04-26,Yield Engineering,,,DUE ON RECEI,FOB???,DCS_6964,DCS_6964,,5,Y,2023-04-28 05:00:12.750,DCS_Order.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_6969 not found for field E2_Customer_Key__c in entity Account:--,5,Lady G Mechanical LLC,Lady G Mechanical LLC,10738 W Kaler Dr,,Glendale,AZ,85307,DCS_88592,2023-04-27,Lady G Mechanical LLC,,,DUE ON RECEI,FOB???,DCS_6969,DCS_6969,,6,Y,2023-04-28 05:00:12.750,DCS_Order.csv,2023-04-27
