Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_3006t not found for field Order_Number__c in entity WorkOrder:--,5,1,150.0,"3/16"" dia x 12""",,3006T-01,Closed,???,DCS_468404,DCS_3006T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,6,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_3006t not found for field Order_Number__c in entity WorkOrder:--,6,1,0.0,DCS Fluoropolymer High Build,,3006T-02,Closed,???,DCS_468405,DCS_3006T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,7,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_3006t not found for field Order_Number__c in entity WorkOrder:--,7,1,7.5,5% Environmental Fee,,3006T-03,Closed,???,DCS_468406,DCS_3006T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,8,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_88592 not found for field Order_Number__c in entity WorkOrder:--,23,1,0.0,"54 1/2"" x 5"" x 157""",,88592-01,Open,???,DCS_468422,DCS_88592,02iDn000000AXurIAG,01uDn000003d5aFIAQ,NO CHARGE,24,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_88592 not found for field Order_Number__c in entity WorkOrder:--,24,1,0.0,"30"" x 54 1/2"" x 1""",,88592-02,Open,???,DCS_468423,DCS_88592,02iDn000000AXurIAG,01uDn000003d5aFIAQ,NO CHARGE,25,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_88592 not found for field Order_Number__c in entity WorkOrder:--,25,5,0.0,Cardinal BK59 TGIC Polyester Texture Semi Gloss 50 Pound Box,,88592-03,Open,???,DCS_468424,DCS_88592,02iDn000000AXurIAG,01uDn000003d5aFIAQ,NO CHARGE,26,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_88592 not found for field Order_Number__c in entity WorkOrder:--,26,1,340.0,,,88592-04,Open,???,DCS_468425,DCS_88592,02iDn000000AXurIAG,01uDn000003d5aFIAQ,NO CHARGE,27,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_3007t not found for field Order_Number__c in entity WorkOrder:--,27,10,0.0,,,3007T-01,Open,???,DCS_468426,DCS_3007T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,28,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_3007t not found for field Order_Number__c in entity WorkOrder:--,28,1,250.0,,,3007T-02,Open,???,DCS_468427,DCS_3007T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,29,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_3007t not found for field Order_Number__c in entity WorkOrder:--,29,1,0.0,DCS Fluoropolymer formulated for release and chemical resistance,,3007T-03,Open,???,DCS_468428,DCS_3007T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,30,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
INVALID_FIELD:Foreign key external ID: dcs_3007t not found for field Order_Number__c in entity WorkOrder:--,30,1,12.5,5% Environmental Fee,,3007T-04,Open,???,DCS_468429,DCS_3007T,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,31,Y,2023-04-28 05:00:18.987,DCS_OrderDet.csv,2023-04-27
