Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_12560 not found for field E2_Quote_Key__c in entity Opportunity:--,11212,13,GLOSSY GREY CLASSIC 308 TIGER,660.0,0.0,,,12380,EXP,Tiger Drylac Glossy 38/70054 Grey Classic 308,DCS_11212,DCS_12380,POWDER,11197,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12560 not found for field E2_Quote_Key__c in entity Opportunity:--,11213,14,POWDER ORDER,660.0,9.48,,,12380,EXP,Tiger Drylac BLM 38/16500  Carlsbad Canyon Brown,DCS_11213,DCS_12380,POWDER,11198,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12562 not found for field E2_Quote_Key__c in entity Opportunity:--,11221,1,DRAFING TABLE,1.0,150.0,50271-01,,12382,WON,Blast & Prime & Coat,DCS_11221,DCS_12382,DUMMY,11206,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12562 not found for field E2_Quote_Key__c in entity Opportunity:--,11222,2,EPA,1.0,7.5,50271-02,,12382,WON,,DCS_11222,DCS_12382,DUMMY,11207,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12562 not found for field E2_Quote_Key__c in entity Opportunity:--,11223,1,PLANTER BOXES 36X36X36,2.0,292.5,,,12383,EXP,Blast & Prime & Coat,DCS_11223,DCS_12383,POWDER,11208,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12563 not found for field E2_Quote_Key__c in entity Opportunity:--,11224,2,EPA,1.0,29.25,,,12383,EXP,,DCS_11224,DCS_12383,POWDER,11209,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12563 not found for field E2_Quote_Key__c in entity Opportunity:--,11225,3,PRIMER GRAY II AXALTA,15.0,0.0,,,12383,EXP,Axalta Primer Gray II Epoxy EFH624P6 55 Pound Box,DCS_11225,DCS_12383,POWDER,11210,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12563 not found for field E2_Quote_Key__c in entity Opportunity:--,11226,1,STREET LIGHT POLES 15'-6''X6'',18.0,35.0,,,12384,EXP,Blast Only,DCS_11226,DCS_12384,POWDER,11211,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12567 not found for field E2_Quote_Key__c in entity Opportunity:--,11243,3,HEAD BOLTS,55.0,1.2,,,12387,EXP,Blast & Coat,DCS_11243,DCS_12387,POWDER,11228,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12567 not found for field E2_Quote_Key__c in entity Opportunity:--,11244,4,EPA,1.0,58.68,,,12387,EXP,,DCS_11244,DCS_12387,POWDER,11229,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
