Error,﻿CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjHhWIAV:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39551,2/22/2019,LIQUID,NET 30,Nofield,0,0,5177.5,5177.5,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,06:19.5,P,QuoteNo,29888
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjIcJIAV:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39552,2/22/2019,LIQUID,NET 30,Nofield,0,0,8295,8295,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,08:17.8,P,QuoteNo,29889
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjIguIAF:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39553,2/22/2019,LIQUID,NET 30,Nofield,0,0,17240,17240,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,08:24.0,P,QuoteNo,29890
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjICDIA3:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39554,2/22/2019,LIQUID,NET 30,Nofield,0,0,6125,6125,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,09:16.9,P,QuoteNo,29891
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjHjzIAF:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39555,2/22/2019,LIQUID,NET 30,Nofield,0,0,520,520,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,10:02.8,P,QuoteNo,29892
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIY9IAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39556,2/28/2019,LIQUID,NET 30,Nofield,0,0,500,500,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),02:13.7,P,QuoteNo,29893
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjHiqIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39558,3/4/2019,LIQUID,NET 30,Nofield,0,0,300,300,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),52:46.8,P,QuoteNo,29894
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIU5IAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39557,2/28/2019,LIQUID,NET 30,Nofield,0,0,500,500,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),05:55.1,P,QuoteNo,29895
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUeIAN, current value is 001Dn00000PjIYbIAN:Account__c --,Castle Steel,Castle Steel,3828 N 35th Ave  ,,Phoenix,AZ,85017,39559,3/6/2019,LIQUID,NET 30,Nofield,0,0,11375.9,11375.9,Balance Due,SCC_4891,SCC_4891,Castle Steel,55:20.4,P,QuoteNo,29896
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJV6IAN, current value is 001Dn00000PjIYbIAN:Account__c --,Agate Steel,Agate Steel,2607 N. Country Club Drive  ,,Scottsdale,AZ,85256,39560,3/11/2019,LIQUID,DUE ON RECEI,Nofield,0,0,16120,16120,Balance Due,SCC_4922,SCC_4922,Agate Steel,42:48.0,P,QuoteNo,29897
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIU3IAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39562,3/11/2019,LIQUID,NET 30,Nofield,0,0,2420,2420,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),43:29.9,P,QuoteNo,29899
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUnIAN, current value is 001Dn00000PjIcJIAV:Account__c --,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,742 E SOUTHERN PACIFIC DRIVE  ,,Phoenix,AZ,85034,39563,3/1/2019,LIQUID,DUE ON RECEI,Nofield,0,0,1750,1750,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,53:54.4,P,QuoteNo,29900
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIcJIAV:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39564,3/11/2019,LIQUID,DUE ON RECEI,Nofield,44,0,4044,4044,Balance Due,SCC_4890,SCC_4890,Currier Construction,02:54.8,P,QuoteNo,29901
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjIfpIAF:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39565,3/6/2019,LIQUID,NET 30,Nofield,0,0,2150,2150,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,13:51.2,P,QuoteNo,29902
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJV6IAN, current value is 001Dn00000PjIDdIAN:Account__c --,Agate Steel,Agate Steel,2607 N. Country Club Drive  ,,Scottsdale,AZ,85256,39568,3/11/2019,LIQUID,DUE ON RECEI,Nofield,0,0,1425,1425,Balance Due,SCC_4922,SCC_4922,Agate Steel,06:35.6,P,QuoteNo,29907
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUqIAN, current value is 001Dn00000PjIKoIAN:Account__c --,PCL Construction,PCL Construction,  ,,,  ,,39569,3/11/2019,LIQUID,DUE ON RECEI,Nofield,0,0,750,750,Balance Due,SCC_4904,SCC_4904,PCL Construction,27:31.0,P,QuoteNo,29908
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUtIAN, current value is 001Dn00000PjHiqIAF:Account__c --,ADVANCED METAL SALES LLC,Advanced Metal Sales LLC,21605 N 26th Ave  ,,Phoenix,AZ,85027,39567,3/11/2019,LIQUID,DUE ON RECEI,Nofield,0,0,9910,9910,Balance Due,SCC_4908,SCC_4908,ADVANCED METAL SALES LLC,43:44.3,P,QuoteNo,29909
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjHiqIAF:Account__c --,Schuff Steel,Schuff Steel,4320 E. Presidio St. Suite 111  ,,Mesa,AZ,85215,39570,3/15/2019,LIQUID,NET 30,Nofield,0,0,6448.5,6448.5,Balance Due,SCC_4907,SCC_4907,Schuff Steel,19:49.5,P,QuoteNo,29910
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIKZIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39538CR,3/1/2019,LIQUID,NET 30,Nofield,0,0,-6196,-6196,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),35:21.3,P,QuoteNo,29911
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIKZIA3:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39572,3/19/2019,LIQUID,DUE ON RECEI,Nofield,550,0,50550,50550,Balance Due,SCC_4890,SCC_4890,Currier Construction,03:22.8,P,QuoteNo,29912
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjJLcIAN:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39573,3/19/2019,LIQUID,NET 30,Nofield,0,0,325,325,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,17:20.0,P,QuoteNo,29913
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjIRXIA3:Account__c --,Schuff Steel,Schuff Steel,4320 E. Presidio St. Suite 111  ,,Mesa,AZ,85215,39571,3/1/2019,LIQUID,NET 30,Nofield,0,0,6196,6196,Balance Due,SCC_4907,SCC_4907,Schuff Steel,40:23.9,P,QuoteNo,29914
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUtIAN, current value is 001Dn00000PjHjRIAV:Account__c --,ADVANCED METAL SALES LLC,Advanced Metal Sales LLC,21605 N 26th Ave  ,NULL,Phoenix,AZ,85027,39574,3/22/2019,LIQUID,NET 30,Nofield,0,0,3530,3530,Balance Due,SCC_4908,SCC_4908,ADVANCED METAL SALES LLC,21:06.2,P,QuoteNo,29915
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjJO3IAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39562CR,3/26/2019,LIQUID,NET 30,Nofield,0,0,-1062,-1062,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),18:23.0,P,QuoteNo,29916
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39575,3/21/2019,LIQUID,NET 30,Nofield,0,0,1015,1015,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),38:27.0,P,QuoteNo,29918
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39576,3/25/2019,LIQUID,NET 30,Nofield,0,0,1280,1280,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),51:44.8,P,QuoteNo,29919
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39577,3/26/2019,LIQUID,NET 30,Nofield,0,0,1800,1800,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),42:56.7,P,QuoteNo,29920
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39578,3/26/2019,LIQUID,NET 30,Nofield,0,0,1000,1000,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),51:27.9,P,QuoteNo,29921
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39579,3/31/2019,LIQUID,NET 30,Nofield,0,0,2100,2100,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),09:52.2,P,QuoteNo,29922
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39580,3/30/2019,LIQUID,NET 30,Nofield,0,0,11550,11550,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),00:25.8,P,QuoteNo,29923
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,N-C39477,4/4/2019,LIQUID,NET 30,Nofield,0,0,-19684.65,-19684.65,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),24:12.0,P,QuoteNo,29924
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,N-C 39475,4/4/2019,LIQUID,NET 30,Nofield,0,0,-6283.25,-6283.25,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),39:15.8,P,QuoteNo,29925
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIjNIAV:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,N-C 39506,4/4/2019,LIQUID,NET 30,Nofield,0,0,-5117,-5117,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),45:02.9,P,QuoteNo,29926
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIk5IAF:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39581,4/4/2019,LIQUID,DUE ON RECEI,Nofield,0,0,750,750,Balance Due,SCC_4890,SCC_4890,Currier Construction,39:11.0,P,QuoteNo,29927
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUnIAN, current value is 001Dn00000PjIjNIAV:Account__c --,CAPITOL ENGINEERING CO,CAPITOL ENGINEERING CO,742 E SOUTHERN PACIFIC DRIVE  ,,Phoenix,AZ,85034,39583,4/5/2019,LIQUID,DUE ON RECEI,Nofield,0,0,5200,5200,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,49:05.9,P,QuoteNo,29929
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIVyIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39584,4/5/2019,LIQUID,NET 30,Nofield,0,0,785,785,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),07:15.7,P,QuoteNo,29930
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUsIAN, current value is 001Dn00000PjHrjIAF:Account__c --,Schuff Steel,Schuff Steel,4320 E. Presidio St. Suite 111  ,,Mesa,AZ,85215,39548CR,4/8/2019,LIQUID,NET 30,Nofield,0,0,-1872,-1872,Balance Due,SCC_4907,SCC_4907,Schuff Steel,30:55.4,P,QuoteNo,29931
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjI04IAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39585,4/6/2019,LIQUID,NET 30,Nofield,0,0,13079,13079,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),25:40.4,P,QuoteNo,29932
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIJrIAN:Account__c --,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,39586,4/15/2019,LIQUID,NET 30,Nofield,0,0,50000,50000,Balance Due,SCC_4890,SCC_4890,Currier Construction,04:34.5,P,QuoteNo,29933
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIUXIA3:Account__c --,Rolling Plains,Rolling Plains,  ,,,  ,,39587,4/13/2019,LIQUID,NET 30,Nofield,0,0,2956,2956,Balance Due,SCC_4928,SCC_4928,Rolling Plains,58:32.3,P,QuoteNo,29934
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIGIIA3:Account__c --,Rolling Plains,Rolling Plains,  ,,,  ,,39588,4/15/2019,LIQUID,NET 30,Nofield,33.99,0,3124.23,3124.23,Balance Due,SCC_4928,SCC_4928,Rolling Plains,22:12.5,P,QuoteNo,29935
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIUXIA3:Account__c --,Rolling Plains,Rolling Plains,  ,,,  ,,39592,4/18/2019,LIQUID,NET 30,Nofield,0,0,3302,3302,Balance Due,SCC_4928,SCC_4928,Rolling Plains,56:59.5,P,QuoteNo,29936
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjJJwIAN:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39593,4/18/2019,LIQUID,NET 30,Nofield,0,0,22592.5,22592.5,Balance Due,SCC_4890,SCC_4890,Currier Construction,03:40.9,P,QuoteNo,29937
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIVyIAN:Account__c --,Rolling Plains,Rolling Plains,  ,,,  ,,39594,4/18/2019,LIQUID,NET 30,Nofield,0,0,3302,3302,Balance Due,SCC_4928,SCC_4928,Rolling Plains,05:06.9,P,QuoteNo,29938
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIUXIA3:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39591,4/18/2019,LIQUID,NET 30,Nofield,0,0,1998.82,1998.82,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),13:19.9,P,QuoteNo,29939
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUtIAN, current value is 001Dn00000PjICpIAN:Account__c --,ADVANCED METAL SALES LLC,Advanced Metal Sales LLC,21605 N 26th Ave  ,,Phoenix,AZ,85027,39590,4/16/2019,LIQUID,NET 30,Nofield,0,0,2400,2400,Balance Due,SCC_4908,SCC_4908,ADVANCED METAL SALES LLC,16:08.2,P,QuoteNo,29940
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVBIA3, current value is 001Dn00000PjICpIAN:Account__c --,MMI Tank,MMI Tank,3240 S. 37th Ave  ,,Phoenix,AZ,85009,39589,4/16/2019,LIQUID,NET 30,Nofield,0,0,14422,14422,Balance Due,SCC_4927,SCC_4927,MMI Tank,10:03.7,P,QuoteNo,29941
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJV0IAN, current value is 001Dn00000PjICpIAN:Account__c --,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,  ,,,  ,,39690,4/24/2019,LIQUID,DUE ON RECEI,Nofield,0,0,21180,21180,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,35:16.8,P,QuoteNo,29942
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39595,4/25/2019,LIQUID,NET 30,Nofield,0,0,3420,3420,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),15:02.1,P,QuoteNo,29943
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUnIAN, current value is 001Dn00000PjICpIAN:Account__c --,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,742 E SOUTHERN PACIFIC DRIVE  ,,Phoenix,AZ,85034,39596,4/25/2019,LIQUID,DUE ON RECEI,Nofield,0,0,7560,7560,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,36:47.8,P,QuoteNo,29944
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjICpIAN:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39597,4/24/2019,LIQUID,NET 30,Nofield,0,0,3855,3855,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),51:13.6,P,QuoteNo,29945
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjICpIAN:Account__c --,Rolling Plains,Rolling Plains,  ,,,  ,,39599,4/25/2019,LIQUID,NET 30,Nofield,0,0,2125,2125,Balance Due,SCC_4928,SCC_4928,Rolling Plains,33:58.1,P,QuoteNo,29946
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVFIA3, current value is 001Dn00000PjICpIAN:Account__c --,Industrial Inspection & Consul,Industrial Inspection & Consul,  ,,,  ,,39600,4/24/2019,LIQUID,DUE ON RECEI,Nofield,0,0,2425,2425,Balance Due,SCC_4931,SCC_4931,Industrial Inspection & Consul,24:50.9,P,QuoteNo,29947
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjICpIAN:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39609,5/4/2019,LIQUID,NET 30,Nofield,0,0,2114.87,2114.87,Balance Due,SCC_4928,SCC_4928,Rolling Plains,09:13.7,P,QuoteNo,29948
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjICpIAN:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39608,4/30/2019,LIQUID,NET 30,Nofield,0,0,2065.13,2065.13,Balance Due,SCC_4928,SCC_4928,Rolling Plains,10:04.5,P,QuoteNo,29949
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjICpIAN:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39607,4/30/2019,LIQUID,NET 30,Nofield,0,0,1338.7,1338.7,Balance Due,SCC_4928,SCC_4928,Rolling Plains,10:35.9,P,QuoteNo,29950
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjICpIAN:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39606,4/25/2019,LIQUID,NET 30,Nofield,0,0,2651.57,2651.57,Balance Due,SCC_4928,SCC_4928,Rolling Plains,10:45.5,P,QuoteNo,29951
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIMNIA3:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39605,4/25/2019,LIQUID,NET 30,Nofield,0,0,2451.98,2451.98,Balance Due,SCC_4928,SCC_4928,Rolling Plains,12:16.2,P,QuoteNo,29952
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIDzIAN:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39604,5/1/2019,LIQUID,NET 30,Nofield,0,0,3132.62,3132.62,Balance Due,SCC_4928,SCC_4928,Rolling Plains,12:52.2,P,QuoteNo,29953
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjIjrIAF:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39603,4/30/2019,LIQUID,NET 30,Nofield,0,0,5520.6,5520.6,Balance Due,SCC_4928,SCC_4928,Rolling Plains,13:26.9,P,QuoteNo,29954
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJVCIA3, current value is 001Dn00000PjHmwIAF:Account__c --,Rolling Plains,Rolling Plains,5136 S Desert View Drive  ,,Apache Junction,AZ,85120,39602,5/1/2019,LIQUID,NET 30,Nofield,0,0,3082.16,3082.16,Balance Due,SCC_4928,SCC_4928,Rolling Plains,14:09.1,P,QuoteNo,29955
