Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,17,8,30.0,"3""dia x 115""",,,Open,???,DCS_467938,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,18,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,18,12,0.5,"3/4""hex",,,Open,???,DCS_467939,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,19,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,19,24,0.5,"1""dia x 1/8""",,,Open,???,DCS_467940,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,20,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,20,2,100.0,"8"" x 8"" x 95' w/plate 18"" x 18"" x 3/4""  w/plate 12"" x 12"" x 5/8""",,,Open,???,DCS_467941,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,21,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,21,2,160.0,"8"" x 8"" x 71""   w/plate 12"" x 12"" x 5/8""",,,Open,???,DCS_467942,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,22,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,22,10,0.0,Cardinal BR23 Polyester Polyurethane 50 pound box Bronze,,,Open,???,DCS_467943,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,23,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
INVALID_FIELD:Foreign key external ID: dcs_88574 not found for field Order_Number__c in entity WorkOrder:--,23,1,38.9,5% Environmental Fee,,,Open,???,DCS_467944,DCS_88574,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,24,Y,2023-04-25 14:31:33.690,DCS_OrderDet.csv,2023-04-25
