Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_88556 not found for field Order_Number__c in entity WorkOrder:--,0,1,0.0,"39 1/4"" x 29 1/2"" x 72""",,,Open,???,DCS_467411,DCS_88556,02iDn000000AXurIAG,01uDn000003d5aFIAQ,BURN,1,Y,2023-04-21 07:29:36.680,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88556 not found for field Order_Number__c in entity WorkOrder:--,1,2,0.0,"32 1/2"" x 3"" x 1 1/2""",,,Open,???,DCS_467412,DCS_88556,02iDn000000AXurIAG,01uDn000003d5aFIAQ,BURN,2,Y,2023-04-21 07:29:36.680,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88552 not found for field Order_Number__c in entity WorkOrder:--,2,50,0.0,"2"" x 1""",,,Open,???,DCS_467413,DCS_88552,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,3,Y,2023-04-21 07:29:36.680,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88552 not found for field Order_Number__c in entity WorkOrder:--,3,1,0.0,Cardinal P004 BK02 POLYESTER POLYURETHANE SMOOTH 40%,,,Open,???,DCS_467414,DCS_88552,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,4,Y,2023-04-21 07:29:36.680,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88552 not found for field Order_Number__c in entity WorkOrder:--,4,1,0.0,5% Environmental Fee,,,Open,???,DCS_467415,DCS_88552,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,5,Y,2023-04-21 07:29:36.680,DCS_OrderDet.csv,2023-04-21
