Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: scc_2619 not found for field Order_Number__c in entity WorkOrder:--,0,1,2000.0,Sand and roll prime compressed air tank.  Customer to provide scissor lift,,2619-01,Open,???,SCC_159662,SCC_2619,02iDn000000AXurIAG,01uDn000003d5aFIAQ,DUMMY,1,Y,2023-05-22 10:00:07.180,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2620 not found for field Order_Number__c in entity WorkOrder:--,1,900,4.46,Load #9,,2620-01,Open,???,SCC_159663,SCC_2620,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,2,Y,2023-05-22 10:00:07.180,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2625 not found for field Order_Number__c in entity WorkOrder:--,2,750,4.46,Blast and prime / Load #16,,2625-01,Open,???,SCC_159664,SCC_2625,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,3,Y,2023-05-22 10:00:07.180,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2626 not found for field Order_Number__c in entity WorkOrder:--,3,2513,4.46,Load #14,,2626-01,Open,???,SCC_159665,SCC_2626,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,4,Y,2023-05-22 10:00:07.180,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2621 not found for field Order_Number__c in entity WorkOrder:--,4,4,175.0,Blast & prime,,2621-01,Open,???,SCC_159666,SCC_2621,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,5,Y,2023-05-22 10:00:07.180,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2621 not found for field Order_Number__c in entity WorkOrder:--,5,1,35.0,,,2621-02,Open,???,SCC_159667,SCC_2621,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,6,Y,2023-05-22 10:00:07.180,SCC_OrderDet.csv,2023-05-22
