Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_88604 not found for field Order_Number__c in entity WorkOrder:--,7,4,225.0,"146"" x 85 1/2"" x 3 1/2""",,,Open,???,DCS_468515,DCS_88604,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,8,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88604 not found for field Order_Number__c in entity WorkOrder:--,8,12,0.0,Tiger Drylac Bengal Black 549/88888,,,Open,???,DCS_468516,DCS_88604,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,9,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88604 not found for field Order_Number__c in entity WorkOrder:--,9,1,45.0,5% Environmental Fee,,,Open,???,DCS_468517,DCS_88604,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,10,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,10,68,0.5,"1""dia x 5 1/2""",,,Open,???,DCS_468518,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,11,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,11,94,0.46,"1""dia x 5""",,,Open,???,DCS_468519,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,12,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,12,7,1.06,"1""dia x 11 1/2""",,,Open,???,DCS_468520,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,13,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,13,7,1.06,"1"" dia x 11 1/2""",,,Open,???,DCS_468521,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,14,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,14,5,0.73,"1""dia x 8""",,,Open,???,DCS_468522,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,15,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,15,4,0.78,"1""dia x 8 1/2""",,,Open,???,DCS_468523,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,16,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,16,20,0.69,"1""dia x 7 1/2""",,,Open,???,DCS_468524,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,17,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,17,20,0.0,Sherwin Williams Regal Red PRS8-C0008 TGIC Polyester,,,Open,???,DCS_468525,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,18,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88603 not found for field Order_Number__c in entity WorkOrder:--,18,1,5.64,5% Environmental Fee,,,Open,???,DCS_468526,DCS_88603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,19,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88614 not found for field Order_Number__c in entity WorkOrder:--,19,4,250.0,"192"" x 96"" x 3 1/2""",,,Open,???,DCS_468527,DCS_88614,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,20,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88614 not found for field Order_Number__c in entity WorkOrder:--,20,15,0.0,Tiger Drylac Series 49 Bengal Silver 049/99999 44 Pound Box,,,Open,???,DCS_468528,DCS_88614,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,21,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
INVALID_FIELD:Foreign key external ID: dcs_88614 not found for field Order_Number__c in entity WorkOrder:--,21,1,50.0,5% Environmental Fee,,,Open,???,DCS_468529,DCS_88614,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,22,Y,2023-04-28 13:00:11.310,DCS_OrderDet.csv,2023-04-28
