Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: scc_2603 not found for field Order_Number__c in entity WorkOrder:--,2,1909,2.23,Load #2,,2603-01,Closed,???,SCC_159590,SCC_2603,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,3,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2604 not found for field Order_Number__c in entity WorkOrder:--,3,12,152.0,"4""X7""X40'",,2604-01,Open,???,SCC_159591,SCC_2604,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,4,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2604 not found for field Order_Number__c in entity WorkOrder:--,4,17,75.0,"4""X4""X17'",,2604-02,Open,???,SCC_159592,SCC_2604,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,5,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2605 not found for field Order_Number__c in entity WorkOrder:--,5,7,297.0,Blast & prime,,2605-01,Open,???,SCC_159593,SCC_2605,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,6,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2605 not found for field Order_Number__c in entity WorkOrder:--,6,1,99.14,,,2605-02,Open,???,SCC_159594,SCC_2605,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,7,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2606 not found for field Order_Number__c in entity WorkOrder:--,7,40,55.0,Labor per Hour for Schreiber Foods (1 employee),,2606-01,Closed,???,SCC_159595,SCC_2606,02iDn000000AXurIAG,01uDn000003d5aFIAQ,FIELD WORK,8,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2602 not found for field Order_Number__c in entity WorkOrder:--,8,1,852.0,Blast & prime,,2602-01,Open,???,SCC_159596,SCC_2602,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,9,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
INVALID_FIELD:Foreign key external ID: scc_2602 not found for field Order_Number__c in entity WorkOrder:--,9,1,42.6,,,2602-02,Open,???,SCC_159597,SCC_2602,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,10,Y,2023-05-01 12:00:10.497,SCC_OrderDet.csv,2023-05-01
